Ticker,Sector,Market Cap,P/E Ratio,Average Return,Volatility
20MICRONS.NS,Basic Materials,8909844480.0,14.708854,0.0038062670982154,0.0389271271738156
21STCENMGM.NS,Financial Services,1249604992.0,2.1037652,0.007059626673743,0.0186164655696762
3MINDIA.NS,Industrials,404706590720.0,66.22493,0.0019192813626411,0.0181011581696269
5PAISA.NS,Financial Services,15624658944.0,26.040585,-4.351011743915016e-05,0.0207541248220863
63MOONS.NS,Technology,25817825280.0,14.792712,0.0029628381172433,0.0354649667024522
AAKASH.NS,Energy,1149187584.0,1.8455285,0.0009445886874604,0.032545805857578
AARON.NS,Industrials,2841379072.0,39.548103,0.000627505477948,0.0196764018501288
AARTIDRUGS.NS,Healthcare,44735971328.0,29.589373,0.0004092914279951,0.0174718306679793
AARTIIND.NS,Basic Materials,172106153984.0,35.588898,-0.0027813137139901,0.0254847088929328
AARTISURF.NS,Basic Materials,6186546176.0,33.6679,0.0009851665250796,0.0299608785801107
AARVI.NS,Industrials,2195719680.0,20.714087,0.0008708296452597,0.0290924534297038
AAVAS.NS,Financial Services,131592593408.0,24.69033,0.0005100795642629,0.018689224721636
ABB.NS,Industrials,1492987281408.0,88.499565,0.0001752268694656,0.0253737420755036
ABBOTINDIA.NS,Healthcare,607137824768.0,47.170174,0.0009652846383735,0.0138879336754141
ABCAPITAL.NS,Financial Services,524537102336.0,14.063636,-0.0003882750214797,0.0219356560159389
ACC.NS,Basic Materials,430295121920.0,21.142277,-0.0002505798289835,0.0206540172313431
ACCELYA.NS,Technology,24012685312.0,25.314713,6.997202322133775e-05,0.0215177874165888
ACCURACY.NS,Industrials,1463443200.0,22.09091,0.0008451694546014,0.0318801293461293
ACE.NS,Industrials,162775384064.0,44.444263,5.162565943192248e-05,0.028989929416847
ADANIENT.NS,Energy,3380708638720.0,62.896717,0.0005689524521516,0.02697167333892
ADANIGREEN.NS,Utilities,2532151132160.0,250.16434,-0.0003914480799328,0.0286706937634316
ADANIPORTS.NS,Industrials,2944696844288.0,28.65166,0.0009518654217488,0.0278984530110027
ADANIPOWER.NS,Utilities,2271737806848.0,18.90244,0.000544349445759,0.0294055097006771
ADFFOODS.NS,Consumer Defensive,32190152704.0,40.638004,0.0030094690151645,0.0321057117939091
ADL.NS,Consumer Cyclical,547607552.0,193.0,0.0015528794056801,0.0384530434881031
ADORWELD.NS,Industrials,22450483200.0,26.177965,9.051244822962504e-05,0.0231212513064706
ADROITINFO.NS,Technology,935553216.0,31.639534,0.0028179299702482,0.0346112222399127
ADSL.NS,Technology,15253861376.0,34.242424,0.0061172812500567,0.0421373382272278
ADVANIHOTR.NS,Consumer Cyclical,6392122368.0,26.6834,-0.000716958588658,0.0257675934764527
ADVENZYMES.NS,Basic Materials,54379757568.0,39.229214,0.0021058437736834,0.0259839306840364
AFFLE.NS,Communication Services,224891060224.0,69.45214,0.0033415995186042,0.0226848117019255
AGARIND.NS,Basic Materials,16040772608.0,13.244951,0.0025330992729383,0.0304252976137151
AGRITECH.NS,Consumer Defensive,1164358784.0,12.736842,0.0005442747694337,0.0356244787056785
AHLEAST.NS,Consumer Cyclical,2924026880.0,10.214199,0.0017806728888905,0.0267026340148326
